handle,name,status,followers_count,posts_count,indexed_at,error_reason,fetched_at
jeffbenjamin.bsky.social,Jeff Benjamin,ok,1096,566,2025-12-11T19:00:29.124Z,,2026-07-01T16:57:20.672010+00:00
armscontrolwonk.bsky.social,Jeffrey Lewis,ok,18405,856,2025-06-11T15:31:37.641Z,,2026-07-01T16:57:21.068578+00:00
jseglin.bsky.social,Jeffrey Seglin,ok,70,16,2024-02-07T12:30:44.142Z,,2026-07-01T16:57:21.470459+00:00
jenrobertsuk.bsky.social,Jen Roberts,ok,36,3,2024-11-17T13:05:25.936Z,,2026-07-01T16:57:21.874753+00:00
jennbudd.bsky.social,Jenn Budd,ok,1824,1082,2026-06-19T15:49:24.769Z,,2026-07-01T16:57:22.271656+00:00
drjenndowd.bsky.social,Jenn Dowd,ok,8059,1747,2025-05-05T10:11:40.275Z,,2026-07-01T16:57:22.668894+00:00
jenniferberkshire.bsky.social,Jennifer Berkshire,ok,3879,577,2025-10-17T13:12:08.650Z,,2026-07-01T16:57:23.075161+00:00
thebloggess.bsky.social,Jenny Lawson,ok,23856,173,2024-01-20T06:58:37.658Z,,2026-07-01T16:57:23.474347+00:00
jeremyfaust.bsky.social,Jeremy Faust,ok,15651,815,2024-11-15T03:25:32.839Z,,2026-07-01T16:57:23.877733+00:00
klaszus.bsky.social,Jeremy Klaszus,ok,7345,928,2025-05-04T16:23:05.878Z,,2026-07-01T16:57:24.274638+00:00
ncrabbithole.com,Jeremy Markovich,ok,2538,2371,2026-01-18T13:41:51.225Z,,2026-07-01T16:57:24.678710+00:00
jeremybney.bsky.social,Jeremy Ney,ok,534,189,2024-11-22T17:56:45.554Z,,2026-07-01T16:57:25.085355+00:00
jeremyscahill.com,Jeremy Scahill,ok,36289,207,2024-08-31T09:44:41.398Z,,2026-07-01T16:57:25.486153+00:00
jerusalem.bsky.social,Jerusalem Demsas,ok,13965,134,2025-08-24T05:19:07.798Z,,2026-07-01T16:57:25.880996+00:00
jessicadefino.skystack.xyz,Jessica Defino,failed,,,,HTTP 400: Bad Request,2026-07-01T16:57:26.288587+00:00
jesspish.bsky.social,Jessica Pishko,ok,39990,1492,2025-11-13T15:38:10.454Z,,2026-07-01T16:57:26.691280+00:00
jimacosta.bsky.social,Jim Acosta,ok,450130,692,2026-04-19T12:53:34.040Z,,2026-07-01T16:57:27.086549+00:00
jim.londoncentric.media,Jim Waterson,ok,60549,4425,2025-12-16T20:59:44.225Z,,2026-07-01T16:57:27.486681+00:00
jj-mccullough.bsky.social,JJ McCullough,ok,6980,580,2024-11-15T16:03:29.032Z,,2026-07-01T16:57:27.885628+00:00
joedoylemilb.bsky.social,Joe Doyle,ok,3210,733,2026-07-01T14:07:50.944Z,,2026-07-01T16:57:28.289798+00:00
